shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10866849:1,35.30395126,-120.66349030,50,4396.37289385
10866849:1,35.30366898,-120.66446686,51,4490.38689884
10866849:1,35.30310822,-120.66516876,52,4579.52213686
10866849:1,35.30291748,-120.66574860,53,4636.25382337
10866849:1,35.30271912,-120.66655731,54,4712.88551534
10866849:1,35.30221939,-120.66638947,55,4770.50224059
10866849:1,35.30134964,-120.66638184,56,4867.21661486
10866849:1,35.29999924,-120.66612244,57,5019.20858256
10866849:1,35.29711914,-120.66525269,58,5349.04432297
10866849:1,35.29636002,-120.66491699,59,5438.78469699
10866849:1,35.29499817,-120.66381836,60,5620.09272809
10866849:1,35.29428864,-120.66581726,61,5817.91929504
10866849:1,35.29428864,-120.66581726,62,5817.91929504
10866849:1,35.29421997,-120.66600037,63,5836.20742390
10866849:1,35.29404068,-120.66681671,64,5912.93181514
10866849:1,35.29407120,-120.67018127,65,6218.30839697
10866849:1,35.29407120,-120.67018127,66,6218.30839697
10866849:1,35.29407120,-120.67047119,67,6244.62039571
10866849:1,35.29410934,-120.67372131,68,6539.62217761
10866849:1,35.29410934,-120.67372131,69,6539.62217761
10866849:1,35.29410934,-120.67523956,70,6677.41389557
10866849:1,35.29412842,-120.67701721,71,6838.76183785
10866849:1,35.29412842,-120.67701721,72,6838.76183785
10866849:1,35.29412842,-120.67722321,73,6857.45719216
10866849:1,35.29415131,-120.68443298,74,7511.79945005
10866849:1,35.29415131,-120.68443298,75,7511.79945005
10866849:1,35.29413986,-120.68567657,76,7624.67114603
10866849:1,35.29397964,-120.68631744,77,7685.50176931
10866849:1,35.29370880,-120.68672943,78,7733.51295436
10866849:1,35.29206085,-120.68859100,79,7982.75861574
10866849:1,35.29129028,-120.69017792,80,8150.34636304
10866849:1,35.28992844,-120.69219208,81,8387.72701551
10866849:1,35.28807068,-120.69609070,82,8797.46086595
10866849:1,35.28638077,-120.70023346,83,9217.81586739
10866849:1,35.28424072,-120.70310211,84,9570.55223429
10866849:1,35.28271103,-120.70648956,85,9921.93949556
10866849:1,35.28271103,-120.70648956,86,9921.93949556
10866849:1,35.28203964,-120.70796204,87,10075.03233017
10866849:1,35.28131104,-120.70877838,88,10184.82618710
10866849:1,35.27661133,-120.71161652,89,10767.46341705
10866849:1,35.27576065,-120.71067047,90,10895.22371581
10866849:1,35.27413177,-120.70924377,91,11117.88744999
10866849:1,35.27413177,-120.70924377,92,11117.88744999
10866849:1,35.27272034,-120.70796967,93,11312.84838602
10866849:1,35.26842117,-120.70419312,94,11901.12714230
10866849:1,35.26729965,-120.70290375,95,12072.16601554
10866849:1,35.26716995,-120.70285034,96,12087.38117565
10866849:1,35.26697922,-120.70262909,97,12116.59238563
10866849:1,35.26697922,-120.70262909,98,12116.59238563
10866849:1,35.26469040,-120.69989777,99,12471.92811961
10866849:1,35.26469040,-120.69989777,100,12471.92811961
10866849:1,35.26343918,-120.69843292,101,12664.39738982
